length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,star,hotness
171360,0.771,0.00929,0.671,0.0,0.0637,-5.617,0.0553,85.026,4,True,5.0
207320,0.717,0.229,0.653,0.0,0.101,-5.634,0.0658,106.966,4,True,5.0
190066,0.554,0.23,0.498,5.98e-06,0.795,-8.866,0.0685,79.635,4,False,5.0
206458,0.488,0.556,0.343,0.0,0.21,-8.985,0.0436,102.819,4,False,5.0
190946,0.579,0.193,0.904,0.0,0.064,-2.729,0.0618,82.014,4,False,5.0
231266,0.68,0.331,0.578,0.0,0.135,-5.804,0.04,145.038,4,False,5.0
240050,0.623,0.328,0.692,0.0,0.153,-5.122,0.0504,79.899,4,False,5.0
181026,0.842,0.0427,0.734,0.0,0.106,-5.065,0.0588,137.958,4,False,5.0
157605,0.88,0.177,0.751,6.43e-05,0.106,-4.258,0.0874,117.948,4,False,5.0
180522,0.889,0.259,0.496,0.0,0.252,-6.365,0.0905,86.003,4,False,5.0
186106,0.4,0.119,0.795,0.0,0.159,-3.731,0.461,190.097,4,True,5.0
205686,0.688,0.443,0.53,0.0,0.0995,-5.507,0.0333,106.958,4,False,5.0
174853,0.548,0.456,0.653,0.0,0.103,-3.875,0.081,150.068,4,False,5.0
166560,0.772,0.15,0.639,0.0,0.0698,-7.119,0.467,168.112,4,False,5.0
241293,0.812,0.271,0.496,0.0,0.0955,-5.969,0.297,109.979,4,False,4.0
193226,0.737,0.11,0.86,1.94e-06,0.0574,-2.652,0.0593,93.989,4,False,4.0
205426,0.831,0.101,0.502,0.0,0.122,-4.045,0.046,100.541,4,True,4.0
228759,0.861,0.0521,0.603,0.0,0.0924,-5.788,0.176,98.043,4,False,4.0
210367,0.816,0.0142,0.538,0.000496,0.099,-6.354,0.0617,97.054,4,True,4.0
179449,0.791,0.407,0.587,0.0,0.148,-5.075,0.0413,96.057,4,False,4.0
200889,0.747,0.0642,0.57,0.0,0.0832,-6.711,0.081,133.992,4,False,4.0
209438,0.824,0.692,0.588,0.000104,0.149,-6.4,0.0924,98.027,4,False,4.0
183290,0.794,0.0125,0.793,0.0,0.0952,-4.521,0.0842,123.941,4,False,4.0
190440,0.726,0.0421,0.554,0.0,0.106,-5.29,0.0917,169.999,4,True,4.0
229773,0.645,0.0933,0.862,0.0,0.193,-4.761,0.0845,119.947,4,True,4.0
201787,0.61,0.367,0.725,0.0,0.154,-5.131,0.15,146.163,4,False,4.0
162586,0.548,0.173,0.735,0.0,0.195,-7.572,0.236,101.252,4,False,4.0
113000,0.907,0.0578,0.53,2.23e-06,0.101,-6.112,0.127,135.998,4,False,4.0
167693,0.654,0.153,0.63,0.0,0.111,-4.644,0.0259,89.991,4,False,4.0
250533,0.61,0.6,0.624,2.12e-06,0.243,-4.773,0.309,176.169,4,True,4.0
301714,0.786,0.0846,0.808,0.000289,0.0822,-3.702,0.0882,105.027,4,False,4.0
192470,0.682,0.174,0.559,0.0,0.344,-5.545,0.127,202.015,4,False,4.0
178480,0.674,0.296,0.881,3.01e-06,0.0793,-2.853,0.147,98.994,4,False,4.0
193143,0.905,0.74,0.389,0.162,0.106,-14.505,0.332,120.046,4,False,4.0
228267,0.693,0.0151,0.678,5.71e-06,0.101,-7.159,0.0324,103.952,4,False,4.0
266086,0.795,0.361,0.783,0.0,0.437,-4.271,0.0432,92.01,4,False,4.0
217466,0.601,0.00987,0.794,1.36e-06,0.388,-5.844,0.0671,114.066,4,False,4.0
197866,0.64,0.124,0.647,0.0,0.0801,-8.114,0.186,92.979,4,True,4.0
156346,0.791,0.0623,0.565,0.0,0.156,-3.933,0.0439,99.961,4,False,4.0
171029,0.741,0.45,0.52,1.97e-06,0.222,-7.513,0.0656,102.998,4,False,4.0
159735,0.682,0.256,0.919,0.0,0.442,-3.18,0.0875,95.982,4,False,4.0
189486,0.581,0.0153,0.662,0.0,0.111,-5.239,0.303,93.023,4,False,4.0
191050,0.763,0.323,0.835,0.00221,0.225,-5.234,0.191,131.875,4,False,4.0
157202,0.802,0.272,0.645,0.0,0.119,-6.181,0.0715,100.001,4,False,4.0
176631,0.894,0.0251,0.511,0.0,0.14,-4.768,0.421,120.077,4,False,4.0
