name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
You Need To Calm Down,Lover,Taylor Swift,2019-08-23,171360,84,0.771,0.00929,0.771,0.671,0.0,0.0637,-5.617,0.0553,85.026,4
"thank u, next","thank u, next",Ariana Grande,2019-02-08,207320,82,0.717,0.229,0.717,0.653,0.0,0.101,-5.634,0.0658,106.966,4
EARFQUAKE,IGOR,"Tyler, The Creator",2019-05-17,190066,82,0.554,0.23,0.554,0.498,5.98e-06,0.795,-8.866,0.0685,79.635,4
Lose You To Love Me,Rare,Selena Gomez,2020-01-10,206458,82,0.488,0.556,0.488,0.343,0.0,0.21,-8.985,0.0436,102.819,4
High Hopes,Pray for the Wicked,Panic! At The Disco,2018-06-22,190946,82,0.579,0.193,0.579,0.904,0.0,0.064,-2.729,0.0618,82.014,4
Better Now,beerbongs & bentleys,Post Malone,2018-04-27,231266,83,0.68,0.331,0.68,0.578,0.0,0.135,-5.804,0.04,145.038,4
Robbery,Death Race For Love (Bonus Track Version),Juice WRLD,2019-03-08,240050,82,0.623,0.328,0.623,0.692,0.0,0.153,-5.122,0.0504,79.899,4
Sucker,Happiness Begins,Jonas Brothers,2019-06-07,181026,81,0.842,0.0427,0.842,0.734,0.0,0.106,-5.065,0.0588,137.958,4
Ride It,Ride It,Regard,2019-07-26,157605,81,0.88,0.177,0.88,0.751,6.43e-05,0.106,-4.258,0.0874,117.948,4
Going Bad (feat. Drake),Championships,Meek Mill,2018-11-30,180522,81,0.889,0.259,0.889,0.496,0.0,0.252,-6.365,0.0905,86.003,4
boyfriend (with Social House),boyfriend,Ariana Grande,2019-08-02,186106,80,0.4,0.119,0.4,0.795,0.0,0.159,-3.731,0.461,190.097,4
Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,205686,80,0.688,0.443,0.688,0.53,0.0,0.0995,-5.507,0.0333,106.958,4
Goodbyes (feat. Young Thug),Hollywood's Bleeding,Post Malone,2019-09-06,174853,81,0.548,0.456,0.548,0.653,0.0,0.103,-3.875,0.081,150.068,4
Pop Out (feat. Lil Tjay),Die A Legend,Polo G,2019-06-07,166560,80,0.772,0.15,0.772,0.639,0.0,0.0698,-7.119,0.467,168.112,4
Location (feat. Burna Boy),PSYCHODRAMA,Dave,2019-03-08,241293,79,0.812,0.271,0.812,0.496,0.0,0.0955,-5.969,0.297,109.979,4
Con Calma,Con Calma,Daddy Yankee,2019-01-24,193226,79,0.737,0.11,0.737,0.86,1.94e-06,0.0574,-2.652,0.0593,93.989,4
Money In The Grave (Drake ft. Rick Ross),The Best In The World Pack,Drake,2019-06-15,205426,79,0.831,0.101,0.831,0.502,0.0,0.122,-4.045,0.046,100.541,4
ZEZE (feat. Travis Scott & Offset),Dying to Live,Kodak Black,2018-12-14,228759,79,0.861,0.0521,0.861,0.603,0.0,0.0924,-5.788,0.176,98.043,4
MIA,X 100PRE,Bad Bunny,2018-12-23,210367,79,0.816,0.0142,0.816,0.538,0.000496,0.099,-6.354,0.0617,97.054,4
Look Back at It,Hoodie SZN,A Boogie Wit da Hoodie,2018-12-21,179449,78,0.791,0.407,0.791,0.587,0.0,0.148,-5.075,0.0413,96.057,4
Please Me,Please Me,Cardi B,2019-02-15,200889,78,0.747,0.0642,0.747,0.57,0.0,0.0832,-6.711,0.081,133.992,4
Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,Tones And I,2019-10-17,209438,78,0.824,0.692,0.824,0.588,0.000104,0.149,-6.4,0.0924,98.027,4
